Goal,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5,Rep_6,Rep_7
abandon,Empty house,Forgotten toys,Deserted street,Discarded possessions,Forsaken city,,
abhorrence,Disgust,Revulsion,Loathing,Repugnance,Aversion,,
ability,Brain,muscles,skills,intelligence,training,,
absence,Empty chair,Blank paper,Missing Person Poster,Closed Door,No Entry Sign,,
abstract,Artwork,Expressionism painting,Minimalist sculpture,Abstract shapes,Colorful patterns,,
absurd,Surrealism painting,Dali melting clock,nonsense words,Escher staircase,Alice in Wonderland,,
abundance,Fruits basket,Cornucopia horn,overflowing glass of water,Money bag,Gold bars,,
academia,Library,books,lecture hall,diploma,professors,,
academic,Lab coat,whiteboard full of equations,books stacked high,laptop with data analysis software open,,,
acceleration,Speedometer needle,Race track curve,F1 car,Jet engine exhaust,Rocket taking off,,
acceptance,handshake,open arms,nodding head,thumbs up gesture,warm smile,,
access,Password input field,Security system illustration,Gate entrance,Door knob,Lock icon,,
accordance,Signature,handshake,agreement document,partnership logos,cooperation icon,,
account,Wallet,bank statement,credit card,money,piggy bank,,
accounting,Calculator,Spreadsheet,Financial Report,Invoice,Receipt,,
accumulation,Cash money,stack of coins,pile of bricks,mountain,warehouse full of goods,,
accuracy,Bullseye target,Measurement device,Stopwatch,Straight edge ruler,Weighing scale,,
accused,courtroom,witness stand,lawyer,gavel,prison bars,,
achievement,Gold medal,Trophy,Certificate,Award ceremony,High score,,
acquaintance,Handshake,Smiling face,Coffee cup,Office desk,Social media logo,,
acquisition,contract,handshake,money exchange,business suit,briefcase,,
act,Actor/actress,Theater stage,Script,Drama mask,applause symbol,,
acting,Stage lights,Script,Microphone,Mask,Director chair,,
action,Running man,Jumping person,Person riding bicycle,Dancing lady,Hiking couple,,
activation,Brain activity,Energy flow,Neuron firing,Muscle movement,Synapse connection,,
activity,Running shoes,dumbbells,gym equipment,yoga mat,mountain climbing gear,,
acts,Law books,Judge's gavel,Legal documents,Courtroom,Constitution,,
acute,Sickness,hospital bed,thermometer,stethoscope,bandages,,
add,Sum symbol,Equation,Calculator,Graph showing addition operation,Pie chart,,
administration,Office building,meeting room,desk,computer screen,paperclip,,
adolescence,High school student,skateboard,acne,phone,teenage rebellion symbol,,
adoration,Heart shape,Roses,Valentine day card,Hug,Kiss mark,,
advantage,Trophy,Winner medal,Crown,Top rank symbol,First place icon,,
adventure,Hiking boots,compass,map,campfire,mountain peak,,
advice,Wise Owl,Book,Teacher,Mentor,Scales of Justice,,
advocate,Gavel,Scales of Justice,Courtroom,Briefcase,Lawyer,,
aeration,Oxygen molecules,Air bubbles in water,Bubbles rising from fish tank,Breathing mask,Vent,,
aerospace,Rocket launchpad,Spacecraft,Astronaut suit,Satellite dish,Aerospace engineering diagrams,,
aesthetic,Artwork,Painting,Sculpture,Beautiful scenery,Fashion design,,
affair,Lovers,Hotel Room,secret message,rose petals,candlelight dinner,,
affection,Hug,kiss,gift box,heart shape,holding hands,,
africa,Desert,Safari,Lion,Pyramids,Tribal Mask,,
afterlife,Heaven,Hell,angels,reincarnation,ghosts,,
afternoons,Sunlight streaming through window,coffee mug,newspaper,afternoon nap,sunset over city skyline,,
age,wrinkles,white hair,glasses,walking stick,hearing aid,,
aggravation,angry face emoji,red exclamation mark symbol,person pulling their hair out,smashed phone screen,,,
aggression,fist,shouting face emoji,broken window,angry crowd,bull charging,,
agitation,shaking hand,clenched fist,raised voice,angry expression,breaking something,,
agony,Heartache,Sadness,Sorrow,Disappointment,Betrayal,,
aid,Medical supplies,food rations,tents,shelter,medicine,,
alert,Alarm clock,Exclamation mark,Red light,Emergency room,Warning sign,,
alleviation,Calmness,Relaxation techniques,Nature walks,Yoga poses,Breathing exercises,,
alliance,handshake,contract,partnership logo,group picture,corporate building,,
aloofness,Isolation,Coldness,Distance,Unapproachability,Detachment,,
alternative,Yoga mat,Meditation cushion,Incense sticks,Chakra symbols,Aromatherapy diffuser,,
altitude,Mountain peak,Airplane,Clouds,Astronaut helmet,Parachute,,
altogether,Group photo,Family dinner,People holding hands,Crowd at concert,Friends playing sports together,,
ambition,Career ladder,trophy,mountain peak,race finish line,goal post,,
ambivalence,Confusion,Conflict,Indecision,Struggle,Question mark,,
amendment,Constitution,Pen,Signature,Law Book,Flag,,
amusement,Clowns,circus tent,popcorn stand,rollercoaster rides,laughing kids,repairs,
analysis,Graphs,Charts,Tables,Statistics,Calculator,,
ancestors,Family tree,genealogy book,grave stone,old photo,ancient artifact,,
ancestry,Family tree,DNA test,old photo albums,genealogical database,family crest,Religious symbols,
ancient,ruins,temple,hieroglyphics,mummy,desert sand dunes,,
anemia,Red blood cell,pale skin,weakness,fatigue,tiredness,,
anesthesia,Mask,syringe,IV bag,Operating room,Scrubbed hands,,
anger,Fist,Red Face,Fire,Exclamation Point!,Crying child,,
anguish,crying face,dark clouds,broken heart,loneliness,pain,,
animosity,angry face,fist,fight scene,broken heart,argumentative debate,,
anniversary,Rose flowers,Wedding Rings,Champagne Glasses,Candles,Heart shaped boxes,,
annunciation,Angel Gabriel,Virgin Mary,Dove symbolizing Holy Spirit,Annunciation scene painting or sculpture,Bible,,
answer,Question mark,Exclamation point,Light bulb,Checkmark,Cross,,
antarctic,penguin,iceberg,polar bear,igloo,snowstorm,,
anticipation,Clock,Hourglass,Watch,Calendar,Countdown timer,,
antiquity,Ruins,Pyramids,Ancient writings,Mosaics,Statues,,
apostle,Disciples,Gospel,Bible,Jerusalem,Cross,,
appeal,Beautiful person,beautiful scenery,flower bouquet,perfume bottle,jewelry,,
appearance,mirror,clothes rack,makeup bag,hairbrush,perfume bottle,,
appetite,Fork,Knife,Plate,Food,Stomach,,
appointment,Calendar,Clock,Meeting room,Person sitting at desk waiting,Notepad,,
appreciation,Gift card,Compliment,Thank you note,Hug,flowers,,
approach,steps leading up to door,path through woods,road approaching city skyline,ladder leaning against wall,,,
approval,Thumbs up emoji,High five hand gesture,Applause icon,Checkmark symbol,Star rating,,
architect,Blueprints,Construction site,Buildings,Architectural models,Sketches,,
arctic,Polar Bear,Igloo,Snow,Aurora Borealis,Penguins,,
aristocracy,Crown,sceptre,throne,palace,royal seal,,
armageddon,Apocalypse,War,Chaos,Nuclear explosion,End of world,,
arrangement,flowers,vase,table setting,music score,furniture layout,,
arrival,Airport,Train Station,Port,Homecoming Banner,Family Reunion,,
ascension,angels wings,clouds,rising star,halo,rays of light,,
assortment,Collection of items,Different colors,Variety of shapes,Mixed materials,Many sizes,,
assumption,Question mark,Guessing game,Wrong direction arrow,Crossroad sign,Broken chain link,,
assurance,Insurance certificate,Shield icon,Umbrella icon,Building under construction,Fire extinguisher,,
attempt,failure,determination,perseverance,success,effort,,
authoritarianism,Dictatorship,propaganda poster,prison cell,barbed wire fence,military uniform,,
autocracy,Crown,scepter,throne,king portrait,iron fist,,
autonomy,Self-driving vehicle,A.I.,drone,human hand holding remote control device,GPS map navigation system,,
autumn,Leaves falling from trees,Pumpkin patch,Apple picking,Sweaters and scarves,Halloween costumes,,
awareness,Mindfulness meditation practice,yoga pose,eyes wide open,sunrise,mind map,boxing gloves,
awe,Rainbow,sunset,Grand canyon view,Aurora Borealis lights,majestic waterfall,,
babyhood,Crib,Diapers,Baby bottle,Rattle,Pacifier,,
backup,cloud storage,USB stick,external hard drive,NAS box,DVD disc,,
baffled,Question mark,exclamation point,confused face emoji,puzzled expression,scratching head,,
balance,Scales,Weighing scales,Libra constellation,Equality symbol,Justice statue holding scales,,
bankruptcy,Courtroom,Judge gavel,Paperwork,Foreclosure sign,Bankruptcy lawyer,,
baroque,Baroque music,Painting,architecture style,Furniture design,fashion,,
barren,Desert,dry land,no vegetation,emptiness,desert rocks,,
basic,pencil,eraser,paperclip,notepad,stapler,,
beauty,Flowers,sunset over ocean waves,rainbow arching across sky,face of smiling woman,colorful birds,,
bedtime,Pyjamas,Moonlight,Clock showing late time,Night lamp,Warm blanket,,
belief,Bible,Quran,Buddha statue,Cross necklace,Hindu temple,,
believing,Cross,Bible,Church,Star of David,Koran,red x mark,
belonging,Family photo album,home key chain,childhood toy,passport,old diary,,
beloved,Heart,Rose flower,Wedding ring,Engagement Ring,Couple walking hand in hand,,
benevolence,Hugging,giving money to charity,smiling at someone,helping another person,volunteering,,
best,Trophy,medal,ribbon,award ceremony stage,podium,,
betrayal,Dagger,Backstabbing person,Snake,Traitor,Broken heart,,
binding,Rope,chain,glue,tape,handcuff,,
biology,Cell,DNA,Evolutionary Tree,Bacteria,Microscope,,
birthday,Cake,candles,presents,balloons,party hats,,
birthing,pregnant woman,ultrasound machine,baby,hospital room,stork,,
bitterness,Lemon,Crying Face Emoji,Sad Face Emoji,Tears Drop Icon,Unhappy Smile Icon,,
