word,A,B,C,D
abandon,abandon,moratorium,deterioration,inspiration
abhorrence,abhorrence,whole,glance,revolutionary
ability,know,ability,consciousness,recall
absence,significance,timid,wonder,absence
abstract,motley,abstract,regular,living
absurd,absurd,uncertainty,progression,difficulty
abundance,abundance,noel,holiday,gusto
academia,lesson,institute,academia,reference
academic,compound,method,academic,genome
acceleration,heading,longer,altitude,acceleration
acceptance,institute,excuse,acceptance,possess
access,limitation,exclusion,access,possess
accordance,institute,understanding,consortium,accordance
account,number,rate,calculation,account
accounting,commission,thursday,creditor,accounting
accumulation,creditor,inducement,accumulation,credit
accuracy,accuracy,repair,equal,fix
accused,judge,decree,accused,divorce
achievement,dedication,merit,achievement,competence
acquaintance,office,acquaintance,accounting,administration
acquisition,commission,acquisition,trustee,partnership
act,renoun,personality,progression,act
acting,listening,acting,seminar,producer
action,move,silence,emotion,action
activation,clustering,activation,association,recall
activity,activity,vitality,habit,fit
acts,framework,frame,picture,module
acute,patient,acute,doctor,medical
add,add,finding,criteria,assessment
administration,professionalization,administration,consortium,patriarchy
adolescence,endpoint,let,adolescence,emotion
adoration,springtime,adoration,euphoria,anniversary
advantage,incentive,fame,reputation,advantage
adventure,territorial,adventure,orientation,apex
advice,discovery,loathing,initial,advice
advocate,legislation,trusteeship,justification,advocate
aeration,aeration,frequency,photosynthesis,mitosis
aerospace,existence,invention,discovery,aerospace
aesthetic,sensation,aesthetic,development,affect
affair,consolation,love,affair,romance
affection,beloved,proposal,anniversary,affection
africa,primitive,africa,hierarchy,adaption
afterlife,killer,almighty,afterlife,evil
afternoons,afternoons,daily,nostalgia,contentment
age,recuperation,age,contentment,disability
aggravation,latest,complaint,let,aggravation
aggression,savage,courage,twinge,aggression
agitation,glance,agitation,stress,debt
agony,nostalgia,stay,stimulus,agony
aid,manifest,industry,aid,welfare
alert,alert,doctor,recuperation,hospitalization
alleviation,possible,starting,bliss,alleviation
alliance,partnership,accordance,administration,alliance
aloofness,despair,isolation,silence,aloofness
alternative,zen,posture,alternative,morning
altitude,altitude,acceleration,airspeed,optimum
altogether,altogether,sociable,born,kindness
ambition,good,forefront,superiority,ambition
ambivalence,ambivalence,sorrow,menopause,weakness
amendment,decision,amendment,reform,lawyer
amusement,fool,excitement,amusement,amazement
analysis,analysis,criteria,creditor,workweek
ancestors,readership,chapter,significance,ancestors
ancestry,distance,whereabouts,hour,ancestry
ancient,ancient,myth,forefront,importance
anemia,anemia,weakness,urge,importance
anesthesia,acute,anesthesia,curing,alert
anger,anger,concern,antipathy,grudge
anguish,anguish,antipathy,pessimism,weakness
animosity,aggression,personality,animosity,brooding
anniversary,anniversary,romantic,desire,affection
annunciation,hereafter,morality,ascension,annunciation
answer,assessment,guess,answer,confusion
antarctic,aloofness,may,solitary,antarctic
anticipation,nanosecond,moment,millisecond,anticipation
antiquity,wonder,over,philosophy,antiquity
apostle,apostle,worship,veneration,repentance
appeal,appeal,category,bohemia,sensitive
appearance,orderly,repair,essence,appearance
appetite,stimulus,dawning,appetite,chef
appointment,appointment,ready,criteria,nowadays
appreciation,yearning,sensitiveness,offering,appreciation
approach,limitation,approach,difficulty,exile
approval,willing,exultation,confidence,approval
architect,repair,architect,labor,making
arctic,charter,arctic,backwoods,tonight
aristocracy,reign,egomania,chosen,aristocracy
armageddon,intensity,armageddon,instability,radioactivity
arrangement,romantic,desire,arrangement,married
arrival,nationality,municipality,arrival,delay
ascension,ascension,holy,annunciation,hereafter
assortment,abstract,assortment,deflation,invention
assumption,thought,problem,assumption,answer
assurance,architect,manpower,repair,assurance
attempt,attempt,worry,lean,breather
authoritarianism,authoritarianism,defeated,editorial,soviet
autocracy,chosen,autocracy,majesty,supremacy
autonomy,way,challenge,limit,autonomy
autumn,farm,november,abundance,autumn
awareness,awareness,quiet,zen,alleviation
awe,acclimation,leeway,reserve,awe
babyhood,babyhood,play,born,joy
backup,memory,type,backup,salient
baffled,answer,exasperation,inquiry,baffled
balance,legislation,balance,decision,advocate
bankruptcy,dispute,bid,bankruptcy,justification
baroque,score,ease,harmony,baroque
barren,zenith,way,wrath,barren
basic,intellectual,idle,basic,thursday
beauty,peace,sensitive,beauty,unity
bedtime,gloom,sadness,lull,bedtime
belief,prayer,belief,religion,repentance
believing,christianity,god,secular,believing
belonging,intellectual,slight,possibility,belonging
beloved,desire,beloved,affection,sensitiveness
benevolence,courtesy,benevolence,society,kindness
best,debate,best,dedication,acting
betrayal,dominance,belief,embarrassment,betrayal
binding,respect,binding,finding,instrumentality
biology,microevolution,synthesis,biology,compound
birthday,birthday,jubilee,delight,present
birthing,ill,alert,hospitalization,birthing
bitterness,bitterness,willing,presence,complaint
blank,blank,segmentation,basic,ellipsis
bliss,possible,bliss,sensitive,alleviation
bohemia,expectation,bohemia,beauty,romance
bold,sir,bold,heading,dominant
bore,tomorrow,exhaustion,bore,daily
botany,research,testing,biology,botany
bourgeois,midair,bourgeois,status,worthy
brave,strategy,brave,guardian,empire
brazil,brazil,tropic,liberty,civilization
brethren,holy,divinity,brethren,religion
buddhism,buddhism,enlightened,concentration,spiritual
budding,natural,budding,springtime,saturation
burden,burden,pessimism,providence,capture
bureaucracy,defeated,bureaucracy,salient,subordinate
business,situation,business,corporation,patriarchy
bygone,bygone,threshold,defect,leaving
calcification,mitosis,operation,calcification,coronary
calling,calling,wane,despondency,single
calm,starting,calm,downtime,seasonal
capability,desensitization,topic,capability,know
capitalism,interest,accumulation,analysis,capitalism
capitalist,capitalist,cartel,debt,defeated
captive,captive,insanity,discomfort,crime
carbonization,borderland,carbonization,adventure,primitive
care,suffering,secondary,care,feel
career,career,enterprise,business,situation
caring,nature,beauty,caring,significance
cartel,finance,asset,cartel,demand
catholic,priesthood,holy,testament,catholic
century,duration,century,reference,moment
challenge,apex,challenge,optimum,autonomy
chance,contingent,odds,chance,probable
chaos,chaos,trembling,allies,unpleasantness
chapter,intellectual,logic,chapter,ancestors
character,mortification,low,character,personality
charity,acquaintance,kindness,allies,charity
charter,depth,frequency,beauty,charter
chef,gusto,spoiling,chef,absorption
childhood,playfulness,june,juvenile,childhood
china,india,approach,buddhism,china
chosen,lord,chosen,heir,reign
christian,holy,protestant,christian,devotion
christianity,christianity,holiness,testament,christian
christmas,fondness,november,christmas,heating
circulation,woe,mitosis,circulation,unpleasantness
circumstances,likelihood,probability,probable,circumstances
citizenry,citizenry,trusteeship,justification,advocate
civilization,federation,public,civilization,bicentennial
claim,preparation,thursday,claim,insurer
clan,clan,nobility,guild,eldest
clarity,clarity,mercy,expectation,unity
classical,classical,acting,interlude,broadways
classified,bureaucracy,classified,defeated,editorial
clean,handling,range,chef,clean
coalition,offer,coalition,trial,resolve
colonial,possibility,colonial,desperate,exile
combination,detective,opportunity,limitation,combination
comfort,relaxation,nostalgia,comfort,living
coming,combination,trepidation,finance,coming
commentary,policy,commentary,national,republican
commerce,purchaser,account,commerce,rate
commercial,service,clientele,purchase,commercial
commission,commission,counseling,professional,brief
commitment,commitment,preface,consent,consideration
commonwealth,commonwealth,law,nationalist,strategy
communication,workweek,communication,thursday,work
comparative,comparative,assessment,statistics,acclimatization
compassion,confidence,compassion,friendliness,society
compatibility,problem,acceptance,compatibility,peace
complacency,complacency,daily,habit,morning
complaint,disposition,baffled,complaint,shame
complex,clustering,continuum,complex,association
composition,composition,practice,octave,grace
compound,experiment,science,research,compound
conceit,conceit,fancy,custom,fetish
concentration,concentration,enlightened,posture,buddhism
confederacy,federal,confederacy,principles,amendment
confederate,deterioration,dread,longing,confederate
confidence,closeness,cooperation,confidence,approval
conflict,hostility,revolutionary,disaster,conflict
confluence,nature,starting,confluence,province
confusion,thought,confusion,inquiry,guess
conscience,annunciation,afterlife,justice,conscience
consciousness,think,intelligence,consciousness,activation
consent,consent,brief,bias,combination
conservative,bicentennial,constitutional,liberty,conservative
consideration,credit,consideration,bid,resolve
consolation,consolation,sensitiveness,courtesy,affair
constitution,constitution,discovery,initial,brief
constitutional,trusteeship,decree,legislation,constitutional
constraint,capture,constraint,limitation,suppression
construct,labor,construct,maintenance,engineer
consumption,trade,disposal,consumption,hunger
contamination,theory,radioactivity,contamination,compound
continuity,expansion,going,continuity,parallel
continuum,complex,topic,continuum,association
convenience,convenience,endpoint,collective,service
convention,counseling,enterprise,remark,convention
conviction,judiciary,conviction,tribunal,decision
cooling,tingle,cooling,domestic,times
coolness,tough,coolness,ambivalence,earl
cooperation,cooperation,discussion,alliance,situation
corporation,situation,professional,patriarchy,corporation
correspondence,correspondence,seeking,disorder,official
corroding,disposal,offset,corroding,error
corruption,corruption,republic,government,legislature
council,council,oath,objection,rule
counsel,document,counsel,office,rule
courage,courage,aggression,doomsday,wartime
covenant,covenant,repentance,jurisdiction,veneration
covert,moratorium,defeated,covert,killer
craving,craving,softening,dissolving,convenience
crazy,crazy,security,malice,evil
creator,confluence,singular,photosynthesis,creator
credit,accounting,credit,inducement,insured
creditor,accounting,inducement,creditor,analysis
cretaceous,fault,cretaceous,adaption,instability
crime,trusteeship,suppression,crime,objection
criminal,criminal,captive,custody,limitation
crisis,protest,crisis,prejudice,indignation
criticism,initial,request,criticism,bureaucracy
culture,quiet,collect,culture,enlightened
curfew,tomorrow,curfew,times,wane
curing,operation,curing,alert,ill
curiosity,method,discovery,curiosity,research
curriculum,thursday,curriculum,idle,teacher
custody,custody,dispute,boundary,customs
custom,chef,living,order,custom
cynicism,unfortunate,passion,unpleasantness,cynicism
daily,daily,sooner,solace,dawning
damned,sick,damned,movie,dramatic
danger,evil,supernatural,intensity,danger
dare,dare,heading,emotion,sadness
darling,fondness,love,darling,romance
dawning,springtime,solace,daily,dawning
deadline,deadline,payable,anticipation,meanwhile
deal,deal,insurer,alliance,acquaintance
dealing,dealing,best,finance,capitalism
debate,debate,best,tone,glee
debt,debt,finance,capitalist,subordinate
december,thanksgiving,fondness,holiday,december
decision,justice,bid,judiciary,decision
decree,legislation,tribunal,decree,bid
dedication,satisfaction,forefront,dedication,progress
defeated,obsession,bureaucracy,defeated,type
defense,defense,myth,nobility,east
definition,intellectual,definition,discovery,guess
defoliation,confluence,defoliation,above,natural
degeneration,proliferation,defect,threshold,degeneration
degree,cohort,institute,subject,degree
delay,departure,municipality,delay,millisecond
delegation,caucus,republic,delegation,national
deletion,exclusion,nay,deletion,error
delight,jubilee,birthday,present,delight
demand,transfer,finance,demand,denomination
demise,demise,plague,fright,malice
democracy,federal,democracy,policy,national
denial,violence,nay,editorial,denial
departed,fright,departed,haunt,doomed
departure,generation,departure,airspeed,playfulness
dependence,dependence,security,moratorium,crazy
